danmaku_id,content,progress,ctime,user_hash
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
1972961643243992576,续航测试是办公场景吗,111.697,1762286555,a35c0a34
1972972670329584128,机身质感很好哦,116.097,1762287870,3726af74
1972982289747002112,有没有首发优惠,121.317,1762289017,57cc88d4
1973022338035910912,有没有指纹解锁,134.032,1762293791,109e9b06
1973027592399912960,带麦克风阵列吗,135.855,1762294417,8fd99665
1973038155502726656,系统纯净吗,141.112,1762295676,8df4cf5f
1973040623037133312,售后服务怎么样,141.777,1762295970,9095ea70
1973068233611952640,全能本就该这样,152.848,1762299262,1cf02daa
1973079606122856960,轻薄便携性能强,156.675,1762300618,8b5caf4d
1973096028383748864,未来几年都够用,163.911,1762302575,6fde8d53
1973096541103580928,买了不后悔系列,163.496,1762302636,e1fd6638
1973107111488088320,没有短板就是最大的优点,169.207,1762303896,ae37776d
1973111516697884928,已经推荐给同事了,170.864,1762304422,fccccc00
1973112515076874752,机身强度怎么样 单手开盖会不会变形,62.811,1762304541,ee866250
1973129571994177792,这台真的可以当主力机,176.861,1762306574,2c082718
1973147773880733440,屏幕最大开合角度多少 能放平吗 展示给别人看方便,50.581,1762308744,32d0e6f6
1973477485098526464,来啦来啦！,1.976,1762348048,51c0efcf
1973481684074835456,蹲个实测！,8.0,1762348549,76f7ab81
1973482753194762240,键盘手感怎么样？,9.325,1762348676,a4371464
1973485871509000192,能当主力机用吗？,14.14,1762349048,d313b1e5
1973486901730537984,玩《CS:GO》能行吗？,15.503,1762349171,d2e03769
1973491061901446912,可以做建模吗,21.854,1762349667,6d031ce0
1973492101568097792,性能怎么样,22.263,1762349791,c305740f
1973495199388893696,大学生用四年没问题吧？,28.935,1762350160,d588651b
1973496293062282752,用它做直播怎么样？性能够不够？,30.179,1762350291,7f6eae00
1973499545887859456,绝了,36.494,1762350678,a217820a
1973499555174038528,绝了,36.494,1762350679,a217820a
1973501833813484032,预装 Office 了吗？激活方便不？,39.517,1762350951,7c972041
1973504789614693376,职场新人闭眼冲,42.848,1762351303,da173b
1973505820399016192,散热控制得好吗,43.145,1762351426,a4bbd708
1973509917780816640,这价格太香了吧！,50.449,1762351915,8bfe9366
1973514016505152512,机身耐脏吗？不小心弄脏了好清理不？,57.985,1762352403,5101ca1
1973515030796798208,已经下单了！等收货来跟大家分享体验！,59.252,1762352524,c5af14ab
1973516104983171328,电脑多大尺寸,61.382,1762352652,b5013658
1973522253798887424,5000 档的价格能有这样的配置和体验，很可以,72.346,1762353385,f8ec9e28
1973523287283972352,对比同价位华为、戴尔，优势在哪啊？,74.41,1762353508,a774b3e5
1973524301525575168,可变刷新率太实用了！,75.517,1762353629,86052f3a
1973527396905070336,有没有小缺点？求博主说点真实反馈！,81.849,1762353998,39813885
1973528542101276928,真香！！,82.43,1762354135,349a7059
1973531584321870592,现在拍多久能收到？,88.744,1762354498,e1bab147
1973532669791393536,散热风扇噪音大吗？,90.684,1762354627,b4886a9e
1973536785988853504,机身是全金属吗？还是塑料 + 金属拼接？,96.699,1762355118,6d7ae34b
1973537799249097216,能装 Linux 系统吗？程序员需求！,97.548,1762355238,74327846
1973541871187775744,玩《原神》低画质能跑吗？求实测！,103.396,1762355724,72493fa9
1973549071306405632,音响在哪个位置？,117.988,1762356582,4a01598d
1973551105963624704,长时间用机身会变形吗？,121.576,1762356825,2e9b974b
1973552122688227072,键盘键程多少？,123.402,1762356946,344806b
1973556268044673792,TF 读卡器太实用了！,130.674,1762357440,d90ee9c
1973558299622602240,运行虚拟机流畅吗？,134.512,1762357682,d6c3bca4
1973561372990724096,性价比真的高！,141.72,1762358049,f931f204
1973565452001469952,学生党疯狂心动！,149.738,1762358535,9132e557
1973567487756948992,机身很轻薄，背着出门完全没压力,155.054,1762358778,1740ec3b
1973568500203370752,这台电脑真的太全能了！,157.216,1762358898,b6e9511b
1973571569334977536,屏幕的色彩真的绝了！,163.343,1762359264,e2a98d41
1973574681030579200,下期测什么,169.422,1762359635,c6aeb11d
1973575694693224704,AI 功能很实用,171.689,1762359756,386b9e89
1973578755058782208,坐等收货！,177.563,1762360121,2edc005e
1974911904753649408,60？,135.394,1762519045,ebc631d7
1986496341731409408,小巧,139.288,1763900017,b7e5118e
2018076710234597376,介绍一下低温锡和黑胶吧,8.035,1767664690,feccffe3
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1972930979996088832,Cinebench分数到底多少啊,103.024,1762282900,52fb10b5
1972935944147676416,视频剪辑能导出多快,103.914,1762283492,8f774a8d
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
1972961643243992576,续航测试是办公场景吗,111.697,1762286555,a35c0a34
1972972670329584128,机身质感很好哦,116.097,1762287870,3726af74
1972982289747002112,有没有首发优惠,121.317,1762289017,57cc88d4
1973022338035910912,有没有指纹解锁,134.032,1762293791,109e9b06
1973027592399912960,带麦克风阵列吗,135.855,1762294417,8fd99665
1973038155502726656,系统纯净吗,141.112,1762295676,8df4cf5f
1973040623037133312,售后服务怎么样,141.777,1762295970,9095ea70
1973068233611952640,全能本就该这样,152.848,1762299262,1cf02daa
1973079606122856960,轻薄便携性能强,156.675,1762300618,8b5caf4d
1973096028383748864,未来几年都够用,163.911,1762302575,6fde8d53
1973096541103580928,买了不后悔系列,163.496,1762302636,e1fd6638
1973107111488088320,没有短板就是最大的优点,169.207,1762303896,ae37776d
1973111516697884928,已经推荐给同事了,170.864,1762304422,fccccc00
1973112515076874752,机身强度怎么样 单手开盖会不会变形,62.811,1762304541,ee866250
1973129571994177792,这台真的可以当主力机,176.861,1762306574,2c082718
1973147773880733440,屏幕最大开合角度多少 能放平吗 展示给别人看方便,50.581,1762308744,32d0e6f6
1973477485098526464,来啦来啦！,1.976,1762348048,51c0efcf
1973481684074835456,蹲个实测！,8.0,1762348549,76f7ab81
1973482753194762240,键盘手感怎么样？,9.325,1762348676,a4371464
1973485871509000192,能当主力机用吗？,14.14,1762349048,d313b1e5
1973486901730537984,玩《CS:GO》能行吗？,15.503,1762349171,d2e03769
1973491061901446912,可以做建模吗,21.854,1762349667,6d031ce0
1973492101568097792,性能怎么样,22.263,1762349791,c305740f
1973495199388893696,大学生用四年没问题吧？,28.935,1762350160,d588651b
1973496293062282752,用它做直播怎么样？性能够不够？,30.179,1762350291,7f6eae00
1973499545887859456,绝了,36.494,1762350678,a217820a
1973499555174038528,绝了,36.494,1762350679,a217820a
1973501701575427584,预装 Office 了吗？激活方便不？,39.517,1762350935,7c972041
1973504789614693376,职场新人闭眼冲,42.848,1762351303,da173b
1973505820399016192,散热控制得好吗,43.145,1762351426,a4bbd708
1973509917780816640,这价格太香了吧！,50.449,1762351915,8bfe9366
1973514016505152512,机身耐脏吗？不小心弄脏了好清理不？,57.985,1762352403,5101ca1
1973515030796798208,已经下单了！等收货来跟大家分享体验！,59.252,1762352524,c5af14ab
1973516104983171328,电脑多大尺寸,61.382,1762352652,b5013658
1973522253798887424,5000 档的价格能有这样的配置和体验，很可以,72.346,1762353385,f8ec9e28
1973523287283972352,对比同价位华为、戴尔，优势在哪啊？,74.41,1762353508,a774b3e5
1973524301525575168,可变刷新率太实用了！,75.517,1762353629,86052f3a
1973527396905070336,有没有小缺点？求博主说点真实反馈！,81.849,1762353998,39813885
1973528542101276928,真香！！,82.43,1762354135,349a7059
1973531584321870592,现在拍多久能收到？,88.744,1762354498,e1bab147
1973532669791393536,散热风扇噪音大吗？,90.684,1762354627,b4886a9e
1973536785988853504,机身是全金属吗？还是塑料 + 金属拼接？,96.699,1762355118,6d7ae34b
1973537799249097216,能装 Linux 系统吗？程序员需求！,97.548,1762355238,74327846
1973541871187775744,玩《原神》低画质能跑吗？求实测！,103.396,1762355724,72493fa9
1973549071306405632,音响在哪个位置？,117.988,1762356582,4a01598d
1973551105963624704,长时间用机身会变形吗？,121.576,1762356825,2e9b974b
1973552122688227072,键盘键程多少？,123.402,1762356946,344806b
1973556268044673792,TF 读卡器太实用了！,130.674,1762357440,d90ee9c
1973558299622602240,运行虚拟机流畅吗？,134.512,1762357682,d6c3bca4
1973561372990724096,性价比真的高！,141.72,1762358049,f931f204
1973565452001469952,学生党疯狂心动！,149.738,1762358535,9132e557
1973567487756948992,机身很轻薄，背着出门完全没压力,155.054,1762358778,1740ec3b
1973568500203370752,这台电脑真的太全能了！,157.216,1762358898,b6e9511b
1973571569334977536,屏幕的色彩真的绝了！,163.343,1762359264,e2a98d41
1973574681030579200,下期测什么,169.422,1762359635,c6aeb11d
1973575694693224704,AI 功能很实用,171.689,1762359756,386b9e89
1973578755058782208,坐等收货！,177.563,1762360121,2edc005e
1974911904753649408,60？,135.394,1762519045,ebc631d7
1986496341731409408,小巧,139.288,1763900017,b7e5118e
2018076710234597376,介绍一下低温锡和黑胶吧,8.035,1767664690,feccffe3
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1972930979996088832,Cinebench分数到底多少啊,103.024,1762282900,52fb10b5
1972935944147676416,视频剪辑能导出多快,103.914,1762283492,8f774a8d
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
1972961643243992576,续航测试是办公场景吗,111.697,1762286555,a35c0a34
1972972670329584128,机身质感很好哦,116.097,1762287870,3726af74
1972982289747002112,有没有首发优惠,121.317,1762289017,57cc88d4
1973022338035910912,有没有指纹解锁,134.032,1762293791,109e9b06
1973027592399912960,带麦克风阵列吗,135.855,1762294417,8fd99665
1973038155502726656,系统纯净吗,141.112,1762295676,8df4cf5f
1973040623037133312,售后服务怎么样,141.777,1762295970,9095ea70
1973068233611952640,全能本就该这样,152.848,1762299262,1cf02daa
1973079606122856960,轻薄便携性能强,156.675,1762300618,8b5caf4d
1973096028383748864,未来几年都够用,163.911,1762302575,6fde8d53
1973096541103580928,买了不后悔系列,163.496,1762302636,e1fd6638
1973107111488088320,没有短板就是最大的优点,169.207,1762303896,ae37776d
1973111516697884928,已经推荐给同事了,170.864,1762304422,fccccc00
1973112515076874752,机身强度怎么样 单手开盖会不会变形,62.811,1762304541,ee866250
1973129571994177792,这台真的可以当主力机,176.861,1762306574,2c082718
1973147773880733440,屏幕最大开合角度多少 能放平吗 展示给别人看方便,50.581,1762308744,32d0e6f6
1973477485098526464,来啦来啦！,1.976,1762348048,51c0efcf
1973481684074835456,蹲个实测！,8.0,1762348549,76f7ab81
1973482753194762240,键盘手感怎么样？,9.325,1762348676,a4371464
1973485871509000192,能当主力机用吗？,14.14,1762349048,d313b1e5
1973486901730537984,玩《CS:GO》能行吗？,15.503,1762349171,d2e03769
1973491061901446912,可以做建模吗,21.854,1762349667,6d031ce0
1973492101568097792,性能怎么样,22.263,1762349791,c305740f
1973495199388893696,大学生用四年没问题吧？,28.935,1762350160,d588651b
1973496293062282752,用它做直播怎么样？性能够不够？,30.179,1762350291,7f6eae00
1973499545887859456,绝了,36.494,1762350678,a217820a
1973499555174038528,绝了,36.494,1762350679,a217820a
1973501833813484032,预装 Office 了吗？激活方便不？,39.517,1762350951,7c972041
1973504789614693376,职场新人闭眼冲,42.848,1762351303,da173b
1973505820399016192,散热控制得好吗,43.145,1762351426,a4bbd708
1973509917780816640,这价格太香了吧！,50.449,1762351915,8bfe9366
1973514016505152512,机身耐脏吗？不小心弄脏了好清理不？,57.985,1762352403,5101ca1
1973515030796798208,已经下单了！等收货来跟大家分享体验！,59.252,1762352524,c5af14ab
1973516104983171328,电脑多大尺寸,61.382,1762352652,b5013658
1973522253798887424,5000 档的价格能有这样的配置和体验，很可以,72.346,1762353385,f8ec9e28
1973523287283972352,对比同价位华为、戴尔，优势在哪啊？,74.41,1762353508,a774b3e5
1973524301525575168,可变刷新率太实用了！,75.517,1762353629,86052f3a
1973527396905070336,有没有小缺点？求博主说点真实反馈！,81.849,1762353998,39813885
1973528542101276928,真香！！,82.43,1762354135,349a7059
1973531584321870592,现在拍多久能收到？,88.744,1762354498,e1bab147
1973532669791393536,散热风扇噪音大吗？,90.684,1762354627,b4886a9e
1973536785988853504,机身是全金属吗？还是塑料 + 金属拼接？,96.699,1762355118,6d7ae34b
1973537799249097216,能装 Linux 系统吗？程序员需求！,97.548,1762355238,74327846
1973541871187775744,玩《原神》低画质能跑吗？求实测！,103.396,1762355724,72493fa9
1973549071306405632,音响在哪个位置？,117.988,1762356582,4a01598d
1973551105963624704,长时间用机身会变形吗？,121.576,1762356825,2e9b974b
1973552122688227072,键盘键程多少？,123.402,1762356946,344806b
1973556268044673792,TF 读卡器太实用了！,130.674,1762357440,d90ee9c
1973558299622602240,运行虚拟机流畅吗？,134.512,1762357682,d6c3bca4
1973561372990724096,性价比真的高！,141.72,1762358049,f931f204
1973565452001469952,学生党疯狂心动！,149.738,1762358535,9132e557
1973567487756948992,机身很轻薄，背着出门完全没压力,155.054,1762358778,1740ec3b
1973568500203370752,这台电脑真的太全能了！,157.216,1762358898,b6e9511b
1973571569334977536,屏幕的色彩真的绝了！,163.343,1762359264,e2a98d41
1973574681030579200,下期测什么,169.422,1762359635,c6aeb11d
1973575694693224704,AI 功能很实用,171.689,1762359756,386b9e89
1973578755058782208,坐等收货！,177.563,1762360121,2edc005e
1974911904753649408,60？,135.394,1762519045,ebc631d7
1986496341731409408,小巧,139.288,1763900017,b7e5118e
2018076710234597376,介绍一下低温锡和黑胶吧,8.035,1767664690,feccffe3
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1972930979996088832,Cinebench分数到底多少啊,103.024,1762282900,52fb10b5
1972935944147676416,视频剪辑能导出多快,103.914,1762283492,8f774a8d
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
1972961643243992576,续航测试是办公场景吗,111.697,1762286555,a35c0a34
1972972670329584128,机身质感很好哦,116.097,1762287870,3726af74
1972982289747002112,有没有首发优惠,121.317,1762289017,57cc88d4
1973022338035910912,有没有指纹解锁,134.032,1762293791,109e9b06
1973027592399912960,带麦克风阵列吗,135.855,1762294417,8fd99665
1973038155502726656,系统纯净吗,141.112,1762295676,8df4cf5f
1973040623037133312,售后服务怎么样,141.777,1762295970,9095ea70
1973068233611952640,全能本就该这样,152.848,1762299262,1cf02daa
1973079606122856960,轻薄便携性能强,156.675,1762300618,8b5caf4d
1973096028383748864,未来几年都够用,163.911,1762302575,6fde8d53
1973096541103580928,买了不后悔系列,163.496,1762302636,e1fd6638
1973107111488088320,没有短板就是最大的优点,169.207,1762303896,ae37776d
1973111516697884928,已经推荐给同事了,170.864,1762304422,fccccc00
1973112515076874752,机身强度怎么样 单手开盖会不会变形,62.811,1762304541,ee866250
1973129571994177792,这台真的可以当主力机,176.861,1762306574,2c082718
1973147773880733440,屏幕最大开合角度多少 能放平吗 展示给别人看方便,50.581,1762308744,32d0e6f6
1973477485098526464,来啦来啦！,1.976,1762348048,51c0efcf
1973481684074835456,蹲个实测！,8.0,1762348549,76f7ab81
1973482753194762240,键盘手感怎么样？,9.325,1762348676,a4371464
1973485871509000192,能当主力机用吗？,14.14,1762349048,d313b1e5
1973486901730537984,玩《CS:GO》能行吗？,15.503,1762349171,d2e03769
1973491061901446912,可以做建模吗,21.854,1762349667,6d031ce0
1973492101568097792,性能怎么样,22.263,1762349791,c305740f
1973495199388893696,大学生用四年没问题吧？,28.935,1762350160,d588651b
1973496293062282752,用它做直播怎么样？性能够不够？,30.179,1762350291,7f6eae00
1973499545887859456,绝了,36.494,1762350678,a217820a
1973499555174038528,绝了,36.494,1762350679,a217820a
1973501833813484032,预装 Office 了吗？激活方便不？,39.517,1762350951,7c972041
1973504789614693376,职场新人闭眼冲,42.848,1762351303,da173b
1973505820399016192,散热控制得好吗,43.145,1762351426,a4bbd708
1973509917780816640,这价格太香了吧！,50.449,1762351915,8bfe9366
1973514016505152512,机身耐脏吗？不小心弄脏了好清理不？,57.985,1762352403,5101ca1
1973515030796798208,已经下单了！等收货来跟大家分享体验！,59.252,1762352524,c5af14ab
1973516104983171328,电脑多大尺寸,61.382,1762352652,b5013658
1973522253798887424,5000 档的价格能有这样的配置和体验，很可以,72.346,1762353385,f8ec9e28
1973523287283972352,对比同价位华为、戴尔，优势在哪啊？,74.41,1762353508,a774b3e5
1973524301525575168,可变刷新率太实用了！,75.517,1762353629,86052f3a
1973527396905070336,有没有小缺点？求博主说点真实反馈！,81.849,1762353998,39813885
1973528542101276928,真香！！,82.43,1762354135,349a7059
1973531584321870592,现在拍多久能收到？,88.744,1762354498,e1bab147
1973532669791393536,散热风扇噪音大吗？,90.684,1762354627,b4886a9e
1973536785988853504,机身是全金属吗？还是塑料 + 金属拼接？,96.699,1762355118,6d7ae34b
1973537799249097216,能装 Linux 系统吗？程序员需求！,97.548,1762355238,74327846
1973541871187775744,玩《原神》低画质能跑吗？求实测！,103.396,1762355724,72493fa9
1973549071306405632,音响在哪个位置？,117.988,1762356582,4a01598d
1973551105963624704,长时间用机身会变形吗？,121.576,1762356825,2e9b974b
1973552122688227072,键盘键程多少？,123.402,1762356946,344806b
1973556268044673792,TF 读卡器太实用了！,130.674,1762357440,d90ee9c
1973558299622602240,运行虚拟机流畅吗？,134.512,1762357682,d6c3bca4
1973561372990724096,性价比真的高！,141.72,1762358049,f931f204
1973565452001469952,学生党疯狂心动！,149.738,1762358535,9132e557
1973567487756948992,机身很轻薄，背着出门完全没压力,155.054,1762358778,1740ec3b
1973568500203370752,这台电脑真的太全能了！,157.216,1762358898,b6e9511b
1973571569334977536,屏幕的色彩真的绝了！,163.343,1762359264,e2a98d41
1973574681030579200,下期测什么,169.422,1762359635,c6aeb11d
1973575694693224704,AI 功能很实用,171.689,1762359756,386b9e89
1973578755058782208,坐等收货！,177.563,1762360121,2edc005e
1974911904753649408,60？,135.394,1762519045,ebc631d7
1986496341731409408,小巧,139.288,1763900017,b7e5118e
2018076710234597376,介绍一下低温锡和黑胶吧,8.035,1767664690,feccffe3
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1972930979996088832,Cinebench分数到底多少啊,103.024,1762282900,52fb10b5
1972935944147676416,视频剪辑能导出多快,103.914,1762283492,8f774a8d
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
1972961643243992576,续航测试是办公场景吗,111.697,1762286555,a35c0a34
1972972670329584128,机身质感很好哦,116.097,1762287870,3726af74
1972982289747002112,有没有首发优惠,121.317,1762289017,57cc88d4
1973022338035910912,有没有指纹解锁,134.032,1762293791,109e9b06
1973027592399912960,带麦克风阵列吗,135.855,1762294417,8fd99665
1973038155502726656,系统纯净吗,141.112,1762295676,8df4cf5f
1973040623037133312,售后服务怎么样,141.777,1762295970,9095ea70
1973068233611952640,全能本就该这样,152.848,1762299262,1cf02daa
1973079606122856960,轻薄便携性能强,156.675,1762300618,8b5caf4d
1973096028383748864,未来几年都够用,163.911,1762302575,6fde8d53
1973096541103580928,买了不后悔系列,163.496,1762302636,e1fd6638
1973107111488088320,没有短板就是最大的优点,169.207,1762303896,ae37776d
1973111516697884928,已经推荐给同事了,170.864,1762304422,fccccc00
1973112515076874752,机身强度怎么样 单手开盖会不会变形,62.811,1762304541,ee866250
1973129571994177792,这台真的可以当主力机,176.861,1762306574,2c082718
1973147773880733440,屏幕最大开合角度多少 能放平吗 展示给别人看方便,50.581,1762308744,32d0e6f6
1973477485098526464,来啦来啦！,1.976,1762348048,51c0efcf
1973481684074835456,蹲个实测！,8.0,1762348549,76f7ab81
1973482753194762240,键盘手感怎么样？,9.325,1762348676,a4371464
1973485871509000192,能当主力机用吗？,14.14,1762349048,d313b1e5
1973486901730537984,玩《CS:GO》能行吗？,15.503,1762349171,d2e03769
1973491061901446912,可以做建模吗,21.854,1762349667,6d031ce0
1973492101568097792,性能怎么样,22.263,1762349791,c305740f
1973495199388893696,大学生用四年没问题吧？,28.935,1762350160,d588651b
1973496293062282752,用它做直播怎么样？性能够不够？,30.179,1762350291,7f6eae00
1973499545887859456,绝了,36.494,1762350678,a217820a
1973499555174038528,绝了,36.494,1762350679,a217820a
1973501701575427584,预装 Office 了吗？激活方便不？,39.517,1762350935,7c972041
1973504789614693376,职场新人闭眼冲,42.848,1762351303,da173b
1973505820399016192,散热控制得好吗,43.145,1762351426,a4bbd708
1973509917780816640,这价格太香了吧！,50.449,1762351915,8bfe9366
1973514016505152512,机身耐脏吗？不小心弄脏了好清理不？,57.985,1762352403,5101ca1
1973515030796798208,已经下单了！等收货来跟大家分享体验！,59.252,1762352524,c5af14ab
1973516104983171328,电脑多大尺寸,61.382,1762352652,b5013658
1973522253798887424,5000 档的价格能有这样的配置和体验，很可以,72.346,1762353385,f8ec9e28
1973523287283972352,对比同价位华为、戴尔，优势在哪啊？,74.41,1762353508,a774b3e5
1973524301525575168,可变刷新率太实用了！,75.517,1762353629,86052f3a
1973527396905070336,有没有小缺点？求博主说点真实反馈！,81.849,1762353998,39813885
1973528542101276928,真香！！,82.43,1762354135,349a7059
1973531584321870592,现在拍多久能收到？,88.744,1762354498,e1bab147
1973532669791393536,散热风扇噪音大吗？,90.684,1762354627,b4886a9e
1973536785988853504,机身是全金属吗？还是塑料 + 金属拼接？,96.699,1762355118,6d7ae34b
1973537799249097216,能装 Linux 系统吗？程序员需求！,97.548,1762355238,74327846
1973541871187775744,玩《原神》低画质能跑吗？求实测！,103.396,1762355724,72493fa9
1973549071306405632,音响在哪个位置？,117.988,1762356582,4a01598d
1973551105963624704,长时间用机身会变形吗？,121.576,1762356825,2e9b974b
1973552122688227072,键盘键程多少？,123.402,1762356946,344806b
1973556268044673792,TF 读卡器太实用了！,130.674,1762357440,d90ee9c
1973558299622602240,运行虚拟机流畅吗？,134.512,1762357682,d6c3bca4
1973561372990724096,性价比真的高！,141.72,1762358049,f931f204
1973565452001469952,学生党疯狂心动！,149.738,1762358535,9132e557
1973567487756948992,机身很轻薄，背着出门完全没压力,155.054,1762358778,1740ec3b
1973568500203370752,这台电脑真的太全能了！,157.216,1762358898,b6e9511b
1973571569334977536,屏幕的色彩真的绝了！,163.343,1762359264,e2a98d41
1973574681030579200,下期测什么,169.422,1762359635,c6aeb11d
1973575694693224704,AI 功能很实用,171.689,1762359756,386b9e89
1973578755058782208,坐等收货！,177.563,1762360121,2edc005e
1974911904753649408,60？,135.394,1762519045,ebc631d7
1986496341731409408,小巧,139.288,1763900017,b7e5118e
2018076710234597376,介绍一下低温锡和黑胶吧,8.035,1767664690,feccffe3
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1972930979996088832,Cinebench分数到底多少啊,103.024,1762282900,52fb10b5
1972935944147676416,视频剪辑能导出多快,103.914,1762283492,8f774a8d
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
1972961643243992576,续航测试是办公场景吗,111.697,1762286555,a35c0a34
1972972670329584128,机身质感很好哦,116.097,1762287870,3726af74
1972982289747002112,有没有首发优惠,121.317,1762289017,57cc88d4
1973022338035910912,有没有指纹解锁,134.032,1762293791,109e9b06
1973027592399912960,带麦克风阵列吗,135.855,1762294417,8fd99665
1973038155502726656,系统纯净吗,141.112,1762295676,8df4cf5f
1973040623037133312,售后服务怎么样,141.777,1762295970,9095ea70
1973068233611952640,全能本就该这样,152.848,1762299262,1cf02daa
1973079606122856960,轻薄便携性能强,156.675,1762300618,8b5caf4d
1973096028383748864,未来几年都够用,163.911,1762302575,6fde8d53
1973096541103580928,买了不后悔系列,163.496,1762302636,e1fd6638
1973107111488088320,没有短板就是最大的优点,169.207,1762303896,ae37776d
1973111516697884928,已经推荐给同事了,170.864,1762304422,fccccc00
1973112515076874752,机身强度怎么样 单手开盖会不会变形,62.811,1762304541,ee866250
1973129571994177792,这台真的可以当主力机,176.861,1762306574,2c082718
1973147773880733440,屏幕最大开合角度多少 能放平吗 展示给别人看方便,50.581,1762308744,32d0e6f6
1973477485098526464,来啦来啦！,1.976,1762348048,51c0efcf
1973481684074835456,蹲个实测！,8.0,1762348549,76f7ab81
1973482753194762240,键盘手感怎么样？,9.325,1762348676,a4371464
1973485871509000192,能当主力机用吗？,14.14,1762349048,d313b1e5
1973486901730537984,玩《CS:GO》能行吗？,15.503,1762349171,d2e03769
1973491061901446912,可以做建模吗,21.854,1762349667,6d031ce0
1973492101568097792,性能怎么样,22.263,1762349791,c305740f
1973495199388893696,大学生用四年没问题吧？,28.935,1762350160,d588651b
1973496293062282752,用它做直播怎么样？性能够不够？,30.179,1762350291,7f6eae00
1973499545887859456,绝了,36.494,1762350678,a217820a
1973499555174038528,绝了,36.494,1762350679,a217820a
1973501833813484032,预装 Office 了吗？激活方便不？,39.517,1762350951,7c972041
1973504789614693376,职场新人闭眼冲,42.848,1762351303,da173b
1973505820399016192,散热控制得好吗,43.145,1762351426,a4bbd708
1973509917780816640,这价格太香了吧！,50.449,1762351915,8bfe9366
1973514016505152512,机身耐脏吗？不小心弄脏了好清理不？,57.985,1762352403,5101ca1
1973515030796798208,已经下单了！等收货来跟大家分享体验！,59.252,1762352524,c5af14ab
1973516104983171328,电脑多大尺寸,61.382,1762352652,b5013658
1973522253798887424,5000 档的价格能有这样的配置和体验，很可以,72.346,1762353385,f8ec9e28
1973523287283972352,对比同价位华为、戴尔，优势在哪啊？,74.41,1762353508,a774b3e5
1973524301525575168,可变刷新率太实用了！,75.517,1762353629,86052f3a
1973527396905070336,有没有小缺点？求博主说点真实反馈！,81.849,1762353998,39813885
1973528542101276928,真香！！,82.43,1762354135,349a7059
1973531584321870592,现在拍多久能收到？,88.744,1762354498,e1bab147
1973532669791393536,散热风扇噪音大吗？,90.684,1762354627,b4886a9e
1973536785988853504,机身是全金属吗？还是塑料 + 金属拼接？,96.699,1762355118,6d7ae34b
1973537799249097216,能装 Linux 系统吗？程序员需求！,97.548,1762355238,74327846
1973541871187775744,玩《原神》低画质能跑吗？求实测！,103.396,1762355724,72493fa9
1973549071306405632,音响在哪个位置？,117.988,1762356582,4a01598d
1973551105963624704,长时间用机身会变形吗？,121.576,1762356825,2e9b974b
1973552122688227072,键盘键程多少？,123.402,1762356946,344806b
1973556268044673792,TF 读卡器太实用了！,130.674,1762357440,d90ee9c
1973558299622602240,运行虚拟机流畅吗？,134.512,1762357682,d6c3bca4
1973561372990724096,性价比真的高！,141.72,1762358049,f931f204
1973565452001469952,学生党疯狂心动！,149.738,1762358535,9132e557
1973567487756948992,机身很轻薄，背着出门完全没压力,155.054,1762358778,1740ec3b
1973568500203370752,这台电脑真的太全能了！,157.216,1762358898,b6e9511b
1973571569334977536,屏幕的色彩真的绝了！,163.343,1762359264,e2a98d41
1973574681030579200,下期测什么,169.422,1762359635,c6aeb11d
1973575694693224704,AI 功能很实用,171.689,1762359756,386b9e89
1973578755058782208,坐等收货！,177.563,1762360121,2edc005e
1974911904753649408,60？,135.394,1762519045,ebc631d7
1986496341731409408,小巧,139.288,1763900017,b7e5118e
2018076710234597376,介绍一下低温锡和黑胶吧,8.035,1767664690,feccffe3
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1972930979996088832,Cinebench分数到底多少啊,103.024,1762282900,52fb10b5
1972935944147676416,视频剪辑能导出多快,103.914,1762283492,8f774a8d
1972952788548007936,TF读卡器方便传照片,110.852,1762285500,59a9f2f9
1972959696734487552,玩主流网游足够了,111.064,1762286323,5262f0be
