danmaku_id,content,progress,ctime,user_hash
1960450704485205248,唉，应该想为什么某人优秀你应该像他学习，而不是他能送外卖而你不能...思路想点什么东西呢,144.252,1760795135,f14cf57
1960480332989938688,同年同月,16.981,1760798667,f3684629
1960531241807760896,送外卖也是没办法,142.26,1760804736,c85fbc2
1960586642490387968,给你点赞,145.7,1760811340,ea29c3c1
1960800402526526976,37岁，找到活儿。。。。,32.647,1760836822,c0a5548e
1960806679696209664,不干代表那你还有的选,21.494,1760837571,3da1875
1960806975436986624,劳务派遣,53.091,1760837606,3da1875
1960833974473866240,务实又勤劳又有担当挺好的,88.288,1760840825,2752c1d
1960849297088589056,知道滴滴和美团的好了吧,69.436,1760842651,1aee4678
1960899346744939520,看起来不像88的 像92-95左右,101.146,1760848618,8a1c958a
1960904784081347328,因为不缴五险一金,16.515,1760849266,28aa5fa5
1961029524410398208,辛苦你啦！！,0.0,1760864136,4806acc1
1961057818069294336,门槛越低的工作越卷,119.666,1760867509,baace13d
1961226579590048000,我外卖也干不了，因为我不会骑电动车,23.951,1760887627,4e95ae39
1961787649161250048,为什么不创业,13.404,1760954511,6b9c4f9e
1961846026650413312,话音确实是上海人,49.598,1760961471,2a3c97b4
1964833878053694720,实现了付费上班了吗,75.245,1761317650,4858ba7
1968319120232096256,就业环境太差，还交那么大一笔手续费什么时候挣得回来？,51.84,1761733123,ef8fbcd1
1968562402555823872,这才是现实生活,121.641,1761762125,82bf7ef
1969057854581354752,老哥好人,91.725,1761821187,b38dd064
1971431399664117504,求职第一课：被骗,85.882,1762104136,8ff05a6c
1971873874342115328,社保？ 能活那么久吗？,43.788,1762156883,aa71bb49
1976426843888451072,这是务实好人,148.976,1762699639,b37bc26e
1998775722755585280,我才33就被裁了,24.434,1765363833,7ceb6575
2004594714417918464,你不是一个人，我也简直跑跑外卖，做工程的国企，现在工资只有3000,17.141,1766057511,1173049d
2005826228603113984,羡慕 我本地人上班9点半出门10点半回家,109.545,1766204319,5c985cfc
2007440884488238080,自食其力值得鼓励,17.054,1766396801,daa03343
2010447168430708480,有孩子么,0.58,1766755178,d4fa3ea7
2017978356733365504,有上海人送外卖不少,156.522,1767652966,1a592312
2019801202996526592,只要能挣钱，都一样，不分贵贱,18.898,1767870266,363177d4
2021115599514242560,现在外地招快递员都不能超过40,56.713,1768026954,6e1487a0
2023863225510257664,这兄弟心态可以,143.644,1768354497,411bcf90
2035530228386398720,上海7000能养家吗,111.927,1769745312,84dad8f8
2040921583031170816,好心酸,134.41,1770388011,b083f099
2044514463306338304,骑自行车也可以送啊！办法总比困难多,42.752,1770816316,a0bafe7a
2046326419814550016,全天时间精力修道改运很快自己在家念就可以,2.535,1771032318,112c1517
2050274307296497152,没啥技能？ 他以前是不是公务员？,13.432,1771502943,dbe4699e
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1960147678201401856,保安还付费上班了,60.863,1760759012,f5c1bf4c
1960148032058201856,贷款上班,82.06,1760759054,1eb6cd26
1960437995375221504,还挺聪明的 不贪小便宜,66.411,1760793620,65d4ae9f
1960448862590499584,有付费求职的，但骗子很多，要小心，而且普遍招数是贩卖焦虑pua你，大家要清醒,61.576,1760794916,f14cf57
1960449851640750592,没贷款的话，7000确实只是心态问题，如果有贷款就不同了,129.753,1760795034,f14cf57
1960450704485205248,唉，应该想为什么某人优秀你应该像他学习，而不是他能送外卖而你不能...思路想点什么东西呢,144.252,1760795135,f14cf57
1960480332989938688,同年同月,16.981,1760798667,f3684629
1960531241807760896,送外卖也是没办法,142.26,1760804736,c85fbc2
1960586642490387968,给你点赞,145.7,1760811340,ea29c3c1
1960800402526526976,37岁，找到活儿。。。。,32.647,1760836822,c0a5548e
1960806679696209664,不干代表那你还有的选,21.494,1760837571,3da1875
1960806975436986624,劳务派遣,53.091,1760837606,3da1875
1960833974473866240,务实又勤劳又有担当挺好的,88.288,1760840825,2752c1d
1960849297088589056,知道滴滴和美团的好了吧,69.436,1760842651,1aee4678
1960899346744939520,看起来不像88的 像92-95左右,101.146,1760848618,8a1c958a
1960904784081347328,因为不缴五险一金,16.515,1760849266,28aa5fa5
1961029524410398208,辛苦你啦！！,0.0,1760864136,4806acc1
1961057818069294336,门槛越低的工作越卷,119.666,1760867509,baace13d
1961226579590048000,我外卖也干不了，因为我不会骑电动车,23.951,1760887627,4e95ae39
1961787649161250048,为什么不创业,13.404,1760954511,6b9c4f9e
1961846026650413312,话音确实是上海人,49.598,1760961471,2a3c97b4
1964833878053694720,实现了付费上班了吗,75.245,1761317650,4858ba7
1968319120232096256,就业环境太差，还交那么大一笔手续费什么时候挣得回来？,51.84,1761733123,ef8fbcd1
1968562402555823872,这才是现实生活,121.641,1761762125,82bf7ef
1969057854581354752,老哥好人,91.725,1761821187,b38dd064
1971431399664117504,求职第一课：被骗,85.882,1762104136,8ff05a6c
1971873874342115328,社保？ 能活那么久吗？,43.788,1762156883,aa71bb49
1976426843888451072,这是务实好人,148.976,1762699639,b37bc26e
1998775722755585280,我才33就被裁了,24.434,1765363833,7ceb6575
2004594714417918464,你不是一个人，我也简直跑跑外卖，做工程的国企，现在工资只有3000,17.141,1766057511,1173049d
2005826228603113984,羡慕 我本地人上班9点半出门10点半回家,109.545,1766204319,5c985cfc
2007440884488238080,自食其力值得鼓励,17.054,1766396801,daa03343
2010447168430708480,有孩子么,0.58,1766755178,d4fa3ea7
2017978356733365504,有上海人送外卖不少,156.522,1767652966,1a592312
2019801202996526592,只要能挣钱，都一样，不分贵贱,18.898,1767870266,363177d4
2021115599514242560,现在外地招快递员都不能超过40,56.713,1768026954,6e1487a0
2023863225510257664,这兄弟心态可以,143.644,1768354497,411bcf90
2035530228386398720,上海7000能养家吗,111.927,1769745312,84dad8f8
2040921583031170816,好心酸,134.41,1770388011,b083f099
2044514463306338304,骑自行车也可以送啊！办法总比困难多,42.752,1770816316,a0bafe7a
2046326419814550016,全天时间精力修道改运很快自己在家念就可以,2.535,1771032318,112c1517
2050274307296497152,没啥技能？ 他以前是不是公务员？,13.432,1771502943,dbe4699e
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1960147678201401856,保安还付费上班了,60.863,1760759012,f5c1bf4c
1960148032058201856,贷款上班,82.06,1760759054,1eb6cd26
1960437995375221504,还挺聪明的 不贪小便宜,66.411,1760793620,65d4ae9f
1960448862590499584,有付费求职的，但骗子很多，要小心，而且普遍招数是贩卖焦虑pua你，大家要清醒,61.576,1760794916,f14cf57
1960449851640750592,没贷款的话，7000确实只是心态问题，如果有贷款就不同了,129.753,1760795034,f14cf57
1960450704485205248,唉，应该想为什么某人优秀你应该像他学习，而不是他能送外卖而你不能...思路想点什么东西呢,144.252,1760795135,f14cf57
1960480332989938688,同年同月,16.981,1760798667,f3684629
1960531241807760896,送外卖也是没办法,142.26,1760804736,c85fbc2
1960586642490387968,给你点赞,145.7,1760811340,ea29c3c1
1960800402526526976,37岁，找到活儿。。。。,32.647,1760836822,c0a5548e
1960806679696209664,不干代表那你还有的选,21.494,1760837571,3da1875
1960806975436986624,劳务派遣,53.091,1760837606,3da1875
1960833974473866240,务实又勤劳又有担当挺好的,88.288,1760840825,2752c1d
1960849297088589056,知道滴滴和美团的好了吧,69.436,1760842651,1aee4678
1960899346744939520,看起来不像88的 像92-95左右,101.146,1760848618,8a1c958a
1960904784081347328,因为不缴五险一金,16.515,1760849266,28aa5fa5
1961029524410398208,辛苦你啦！！,0.0,1760864136,4806acc1
1961057818069294336,门槛越低的工作越卷,119.666,1760867509,baace13d
1961226579590048000,我外卖也干不了，因为我不会骑电动车,23.951,1760887627,4e95ae39
1961787649161250048,为什么不创业,13.404,1760954511,6b9c4f9e
1961846026650413312,话音确实是上海人,49.598,1760961471,2a3c97b4
1964833878053694720,实现了付费上班了吗,75.245,1761317650,4858ba7
1968319120232096256,就业环境太差，还交那么大一笔手续费什么时候挣得回来？,51.84,1761733123,ef8fbcd1
1968562402555823872,这才是现实生活,121.641,1761762125,82bf7ef
1969057854581354752,老哥好人,91.725,1761821187,b38dd064
1971431399664117504,求职第一课：被骗,85.882,1762104136,8ff05a6c
1971873874342115328,社保？ 能活那么久吗？,43.788,1762156883,aa71bb49
1976426843888451072,这是务实好人,148.976,1762699639,b37bc26e
1998775722755585280,我才33就被裁了,24.434,1765363833,7ceb6575
2004594714417918464,你不是一个人，我也简直跑跑外卖，做工程的国企，现在工资只有3000,17.141,1766057511,1173049d
2005826228603113984,羡慕 我本地人上班9点半出门10点半回家,109.545,1766204319,5c985cfc
2007440884488238080,自食其力值得鼓励,17.054,1766396801,daa03343
2010447168430708480,有孩子么,0.58,1766755178,d4fa3ea7
2017978356733365504,有上海人送外卖不少,156.522,1767652966,1a592312
2019801202996526592,只要能挣钱，都一样，不分贵贱,18.898,1767870266,363177d4
2021115599514242560,现在外地招快递员都不能超过40,56.713,1768026954,6e1487a0
2023863225510257664,这兄弟心态可以,143.644,1768354497,411bcf90
2035530228386398720,上海7000能养家吗,111.927,1769745312,84dad8f8
2040921583031170816,好心酸,134.41,1770388011,b083f099
2044514463306338304,骑自行车也可以送啊！办法总比困难多,42.752,1770816316,a0bafe7a
2046326419814550016,全天时间精力修道改运很快自己在家念就可以,2.535,1771032318,112c1517
2050274307296497152,没啥技能？ 他以前是不是公务员？,13.432,1771502943,dbe4699e
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1960147678201401856,保安还付费上班了,60.863,1760759012,f5c1bf4c
1960148032058201856,贷款上班,82.06,1760759054,1eb6cd26
1960437995375221504,还挺聪明的 不贪小便宜,66.411,1760793620,65d4ae9f
1960448862590499584,有付费求职的，但骗子很多，要小心，而且普遍招数是贩卖焦虑pua你，大家要清醒,61.576,1760794916,f14cf57
1960449851640750592,没贷款的话，7000确实只是心态问题，如果有贷款就不同了,129.753,1760795034,f14cf57
1960450704485205248,唉，应该想为什么某人优秀你应该像他学习，而不是他能送外卖而你不能...思路想点什么东西呢,144.252,1760795135,f14cf57
1960480332989938688,同年同月,16.981,1760798667,f3684629
1960531241807760896,送外卖也是没办法,142.26,1760804736,c85fbc2
1960586642490387968,给你点赞,145.7,1760811340,ea29c3c1
1960800402526526976,37岁，找到活儿。。。。,32.647,1760836822,c0a5548e
1960806679696209664,不干代表那你还有的选,21.494,1760837571,3da1875
1960806975436986624,劳务派遣,53.091,1760837606,3da1875
1960833974473866240,务实又勤劳又有担当挺好的,88.288,1760840825,2752c1d
1960849297088589056,知道滴滴和美团的好了吧,69.436,1760842651,1aee4678
1960899346744939520,看起来不像88的 像92-95左右,101.146,1760848618,8a1c958a
1960904784081347328,因为不缴五险一金,16.515,1760849266,28aa5fa5
1961029524410398208,辛苦你啦！！,0.0,1760864136,4806acc1
1961057818069294336,门槛越低的工作越卷,119.666,1760867509,baace13d
1961226579590048000,我外卖也干不了，因为我不会骑电动车,23.951,1760887627,4e95ae39
1961787649161250048,为什么不创业,13.404,1760954511,6b9c4f9e
1961846026650413312,话音确实是上海人,49.598,1760961471,2a3c97b4
1964833878053694720,实现了付费上班了吗,75.245,1761317650,4858ba7
1968319120232096256,就业环境太差，还交那么大一笔手续费什么时候挣得回来？,51.84,1761733123,ef8fbcd1
1968562402555823872,这才是现实生活,121.641,1761762125,82bf7ef
1969057854581354752,老哥好人,91.725,1761821187,b38dd064
1971431399664117504,求职第一课：被骗,85.882,1762104136,8ff05a6c
1971873874342115328,社保？ 能活那么久吗？,43.788,1762156883,aa71bb49
1976426843888451072,这是务实好人,148.976,1762699639,b37bc26e
1998775722755585280,我才33就被裁了,24.434,1765363833,7ceb6575
2004594714417918464,你不是一个人，我也简直跑跑外卖，做工程的国企，现在工资只有3000,17.141,1766057511,1173049d
2005826228603113984,羡慕 我本地人上班9点半出门10点半回家,109.545,1766204319,5c985cfc
2007440884488238080,自食其力值得鼓励,17.054,1766396801,daa03343
2010447168430708480,有孩子么,0.58,1766755178,d4fa3ea7
2017978356733365504,有上海人送外卖不少,156.522,1767652966,1a592312
2019801202996526592,只要能挣钱，都一样，不分贵贱,18.898,1767870266,363177d4
2021115599514242560,现在外地招快递员都不能超过40,56.713,1768026954,6e1487a0
2023863225510257664,这兄弟心态可以,143.644,1768354497,411bcf90
2035530228386398720,上海7000能养家吗,111.927,1769745312,84dad8f8
2040921583031170816,好心酸,134.41,1770388011,b083f099
2044514463306338304,骑自行车也可以送啊！办法总比困难多,42.752,1770816316,a0bafe7a
2046326419814550016,全天时间精力修道改运很快自己在家念就可以,2.535,1771032318,112c1517
2050274307296497152,没啥技能？ 他以前是不是公务员？,13.432,1771502943,dbe4699e
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
