danmaku_id,content,progress,ctime,user_hash
2082975330586518016,用时21秒,27.584,1775401209,d2fbb766
2083040323986712064,给自己都画笑了,26.994,1775408957,75ddddb9
2083291384009850112,看得出主播很开心,29.647,1775438885,cf2d0326
2083323377614931456,？,18.324,1775442699,d97a54f4
2083325672620738304,自己都绷不住了,29.543,1775442973,33327a93
2083327001318186496,！？弱弱？！,20.497,1775443131,43a0a49e
2083338597704699136,！？区区？！,21.526,1775444514,1d20f464
2083345330082562304,！？区区？！,22.263,1775445316,491044b9
2083376726906064640,别说还挺像的,23.997,1775449059,43cf3ed8
2083378440345761024,你在期待什么,19.847,1775449263,feb4e77b
2083378741186883840,N,25.87,1775449299,f4bee60c
2083381609142513920,就问你出没出吧,28.888,1775449641,2a6103c8
2083382642719782912,我在期待什么,19.201,1775449764,78ceb151
2083383651005274368,杰帕德画风,25.376,1775449884,8586db8d
2083383746534987520,?,9.34,1775449896,65ff5ad3
2083383953700203520,像在哪？,27.326,1775449920,5ff6b6f
2083396889688202752,nb,14.626,1775451463,39e19b1b
2083397105049361152,已经超过6秒了,11.66,1775451488,d92a1a89
2083412364388724224,？你在等什么,17.051,1775453307,e264bdbb
2083412406902279936,气笑了,19.927,1775453312,e264bdbb
2083412609411535104,自己画的时候笑了没,29.217,1775453337,e264bdbb
2083419946440537600,有点像皮蛋,21.354,1775454211,e973d38f
2083420927228060416,纯享受,0.0,1775454328,3bd6534b
2083428715035217408,对的,13.71,1775455256,ec22e76b
2083440600006626304,自己都没绷住,29.269,1775456673,c9b6039a
2083441907119411968,？！区区！？,0.301,1775456829,46d0dd95
2083444115798360064,省流:都老演员了还笑场,1.41,1775457092,be480511
2083444365946303744,！？区区？！,26.861,1775457122,578637a2
2083445005276055552,我不想认真画，随便画的时候就这样,10.823,1775457198,b9fab33c
2083450769650052608,完全没有想着赚钱全沉浸在自己的艺术里,29.677,1775457886,67172cef
2083451184517303552,超时了,15.207,1775457935,6ba7950c
2083458260048029184,！？强强？！,1.884,1775458778,d2f246ab
2083461354706439680,就问你出没出吧,21.769,1775459147,9515aa20
2083463963597021184,何意味,9.744,1775459458,418ce86c
2083464987686322944,？,22.42,1775459580,80b710ee
2083514590834631424,666自己都绷不住了,0.605,1775465494,c8e1e255
2083529575715361792,已经完全沉浸在自己的艺术里了,28.217,1775467280,b332a902
2083536845316098304,老演员还笑场,29.549,1775468147,dec747bf
2083559587017264384,初见端倪,8.096,1775470858,38abd4d3
2083559691430066176,初见端倪,5.738,1775470870,38abd4d3
2083595536640065280,?,22.22,1775475143,28d79e3c
2083596818914744064,自己都没憋住笑啊你小子,3.263,1775475296,255ce146
2083635823668575232,？,12.684,1775479946,83c89801
2083687247161054464,精髓出来了,21.088,1775486076,829c8f3d
2083702388564331520,我真的是看你老实才看完这视频的,15.326,1775487881,bd054397
2084330385679932928,你在期待什么,26.378,1775562744,3116c3c5
2084342102619397120,画得比我好,3.0,1775564141,e8a9fb58
2084450516897315840,好了，6秒到了,8.691,1775577065,8fb532a2
2084498649505256704,自己都绷不住,28.014,1775582803,4798d023
2084525879681499392,？,12.975,1775586049,5fe8d464
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
2082741104285073920,比我画的有水平,21.202,1775373287,44df16d9
2082975330586518016,用时21秒,27.584,1775401209,d2fbb766
2083040323986712064,给自己都画笑了,26.994,1775408957,75ddddb9
2083291384009850112,看得出主播很开心,29.647,1775438885,cf2d0326
2083323377614931456,？,18.324,1775442699,d97a54f4
2083325672620738304,自己都绷不住了,29.543,1775442973,33327a93
2083327001318186496,！？弱弱？！,20.497,1775443131,43a0a49e
2083338597704699136,！？区区？！,21.526,1775444514,1d20f464
2083345330082562304,！？区区？！,22.263,1775445316,491044b9
2083376726906064640,别说还挺像的,23.997,1775449059,43cf3ed8
2083378440345761024,你在期待什么,19.847,1775449263,feb4e77b
2083378741186883840,N,25.87,1775449299,f4bee60c
2083381609142513920,就问你出没出吧,28.888,1775449641,2a6103c8
2083382642719782912,我在期待什么,19.201,1775449764,78ceb151
2083383651005274368,杰帕德画风,25.376,1775449884,8586db8d
2083383746534987520,?,9.34,1775449896,65ff5ad3
2083383953700203520,像在哪？,27.326,1775449920,5ff6b6f
2083396889688202752,nb,14.626,1775451463,39e19b1b
2083397105049361152,已经超过6秒了,11.66,1775451488,d92a1a89
2083412364388724224,？你在等什么,17.051,1775453307,e264bdbb
2083412406902279936,气笑了,19.927,1775453312,e264bdbb
2083412609411535104,自己画的时候笑了没,29.217,1775453337,e264bdbb
2083419946440537600,有点像皮蛋,21.354,1775454211,e973d38f
2083420927228060416,纯享受,0.0,1775454328,3bd6534b
2083428715035217408,对的,13.71,1775455256,ec22e76b
2083440600006626304,自己都没绷住,29.269,1775456673,c9b6039a
2083441907119411968,？！区区！？,0.301,1775456829,46d0dd95
2083444115798360064,省流:都老演员了还笑场,1.41,1775457092,be480511
2083444365946303744,！？区区？！,26.861,1775457122,578637a2
2083445005276055552,我不想认真画，随便画的时候就这样,10.823,1775457198,b9fab33c
2083450769650052608,完全没有想着赚钱全沉浸在自己的艺术里,29.677,1775457886,67172cef
2083451184517303552,超时了,15.207,1775457935,6ba7950c
2083458260048029184,！？强强？！,1.884,1775458778,d2f246ab
2083461354706439680,就问你出没出吧,21.769,1775459147,9515aa20
2083463963597021184,何意味,9.744,1775459458,418ce86c
2083464987686322944,？,22.42,1775459580,80b710ee
2083514590834631424,666自己都绷不住了,0.605,1775465494,c8e1e255
2083529575715361792,已经完全沉浸在自己的艺术里了,28.217,1775467280,b332a902
2083536845316098304,老演员还笑场,29.549,1775468147,dec747bf
2083559587017264384,初见端倪,8.096,1775470858,38abd4d3
2083559691430066176,初见端倪,5.738,1775470870,38abd4d3
2083595536640065280,?,22.22,1775475143,28d79e3c
2083596818914744064,自己都没憋住笑啊你小子,3.263,1775475296,255ce146
2083635823668575232,？,12.684,1775479946,83c89801
2083687247161054464,精髓出来了,21.088,1775486076,829c8f3d
2083702388564331520,我真的是看你老实才看完这视频的,15.326,1775487881,bd054397
2084330385679932928,你在期待什么,26.378,1775562744,3116c3c5
2084342102619397120,画得比我好,3.0,1775564141,e8a9fb58
2084450516897315840,好了，6秒到了,8.691,1775577065,8fb532a2
2084498649505256704,自己都绷不住,28.014,1775582803,4798d023
2084525879681499392,？,12.975,1775586049,5fe8d464
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
2082741104285073920,比我画的有水平,21.202,1775373287,44df16d9
2082975330586518016,用时21秒,27.584,1775401209,d2fbb766
2083040323986712064,给自己都画笑了,26.994,1775408957,75ddddb9
2083291384009850112,看得出主播很开心,29.647,1775438885,cf2d0326
2083323377614931456,？,18.324,1775442699,d97a54f4
2083325672620738304,自己都绷不住了,29.543,1775442973,33327a93
2083327001318186496,！？弱弱？！,20.497,1775443131,43a0a49e
2083338597704699136,！？区区？！,21.526,1775444514,1d20f464
2083345330082562304,！？区区？！,22.263,1775445316,491044b9
2083376726906064640,别说还挺像的,23.997,1775449059,43cf3ed8
2083378440345761024,你在期待什么,19.847,1775449263,feb4e77b
2083378741186883840,N,25.87,1775449299,f4bee60c
2083381609142513920,就问你出没出吧,28.888,1775449641,2a6103c8
2083382642719782912,我在期待什么,19.201,1775449764,78ceb151
2083383651005274368,杰帕德画风,25.376,1775449884,8586db8d
2083383746534987520,?,9.34,1775449896,65ff5ad3
2083383953700203520,像在哪？,27.326,1775449920,5ff6b6f
2083396889688202752,nb,14.626,1775451463,39e19b1b
2083397105049361152,已经超过6秒了,11.66,1775451488,d92a1a89
2083412364388724224,？你在等什么,17.051,1775453307,e264bdbb
2083412406902279936,气笑了,19.927,1775453312,e264bdbb
2083412609411535104,自己画的时候笑了没,29.217,1775453337,e264bdbb
2083419946440537600,有点像皮蛋,21.354,1775454211,e973d38f
2083420927228060416,纯享受,0.0,1775454328,3bd6534b
2083428715035217408,对的,13.71,1775455256,ec22e76b
2083440600006626304,自己都没绷住,29.269,1775456673,c9b6039a
2083441907119411968,？！区区！？,0.301,1775456829,46d0dd95
2083444115798360064,省流:都老演员了还笑场,1.41,1775457092,be480511
2083444365946303744,！？区区？！,26.861,1775457122,578637a2
2083445005276055552,我不想认真画，随便画的时候就这样,10.823,1775457198,b9fab33c
2083450769650052608,完全没有想着赚钱全沉浸在自己的艺术里,29.677,1775457886,67172cef
2083451184517303552,超时了,15.207,1775457935,6ba7950c
2083458260048029184,！？强强？！,1.884,1775458778,d2f246ab
2083461354706439680,就问你出没出吧,21.769,1775459147,9515aa20
2083463963597021184,何意味,9.744,1775459458,418ce86c
2083464987686322944,？,22.42,1775459580,80b710ee
2083514590834631424,666自己都绷不住了,0.605,1775465494,c8e1e255
2083529575715361792,已经完全沉浸在自己的艺术里了,28.217,1775467280,b332a902
2083536845316098304,老演员还笑场,29.549,1775468147,dec747bf
2083559587017264384,初见端倪,8.096,1775470858,38abd4d3
2083559691430066176,初见端倪,5.738,1775470870,38abd4d3
2083595536640065280,?,22.22,1775475143,28d79e3c
2083596818914744064,自己都没憋住笑啊你小子,3.263,1775475296,255ce146
2083635823668575232,？,12.684,1775479946,83c89801
2083687247161054464,精髓出来了,21.088,1775486076,829c8f3d
2083702388564331520,我真的是看你老实才看完这视频的,15.326,1775487881,bd054397
2084330385679932928,你在期待什么,26.378,1775562744,3116c3c5
2084342102619397120,画得比我好,3.0,1775564141,e8a9fb58
2084450516897315840,好了，6秒到了,8.691,1775577065,8fb532a2
2084498649505256704,自己都绷不住,28.014,1775582803,4798d023
2084525879681499392,？,12.975,1775586049,5fe8d464
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
2082741104285073920,比我画的有水平,21.202,1775373287,44df16d9
2082975330586518016,用时21秒,27.584,1775401209,d2fbb766
2083040323986712064,给自己都画笑了,26.994,1775408957,75ddddb9
2083291384009850112,看得出主播很开心,29.647,1775438885,cf2d0326
2083323377614931456,？,18.324,1775442699,d97a54f4
2083325672620738304,自己都绷不住了,29.543,1775442973,33327a93
2083327001318186496,！？弱弱？！,20.497,1775443131,43a0a49e
2083338597704699136,！？区区？！,21.526,1775444514,1d20f464
2083345330082562304,！？区区？！,22.263,1775445316,491044b9
2083376726906064640,别说还挺像的,23.997,1775449059,43cf3ed8
2083378440345761024,你在期待什么,19.847,1775449263,feb4e77b
2083378741186883840,N,25.87,1775449299,f4bee60c
2083381609142513920,就问你出没出吧,28.888,1775449641,2a6103c8
2083382642719782912,我在期待什么,19.201,1775449764,78ceb151
2083383651005274368,杰帕德画风,25.376,1775449884,8586db8d
2083383746534987520,?,9.34,1775449896,65ff5ad3
2083383953700203520,像在哪？,27.326,1775449920,5ff6b6f
2083396889688202752,nb,14.626,1775451463,39e19b1b
2083397105049361152,已经超过6秒了,11.66,1775451488,d92a1a89
2083412364388724224,？你在等什么,17.051,1775453307,e264bdbb
2083412406902279936,气笑了,19.927,1775453312,e264bdbb
2083412609411535104,自己画的时候笑了没,29.217,1775453337,e264bdbb
2083419946440537600,有点像皮蛋,21.354,1775454211,e973d38f
2083420927228060416,纯享受,0.0,1775454328,3bd6534b
2083428715035217408,对的,13.71,1775455256,ec22e76b
2083440600006626304,自己都没绷住,29.269,1775456673,c9b6039a
2083441907119411968,？！区区！？,0.301,1775456829,46d0dd95
2083444115798360064,省流:都老演员了还笑场,1.41,1775457092,be480511
2083444365946303744,！？区区？！,26.861,1775457122,578637a2
2083445005276055552,我不想认真画，随便画的时候就这样,10.823,1775457198,b9fab33c
2083450769650052608,完全没有想着赚钱全沉浸在自己的艺术里,29.677,1775457886,67172cef
2083451184517303552,超时了,15.207,1775457935,6ba7950c
2083458260048029184,！？强强？！,1.884,1775458778,d2f246ab
2083461354706439680,就问你出没出吧,21.769,1775459147,9515aa20
2083463963597021184,何意味,9.744,1775459458,418ce86c
2083464987686322944,？,22.42,1775459580,80b710ee
2083514590834631424,666自己都绷不住了,0.605,1775465494,c8e1e255
2083529575715361792,已经完全沉浸在自己的艺术里了,28.217,1775467280,b332a902
2083536845316098304,老演员还笑场,29.549,1775468147,dec747bf
2083559587017264384,初见端倪,8.096,1775470858,38abd4d3
2083559691430066176,初见端倪,5.738,1775470870,38abd4d3
2083595536640065280,?,22.22,1775475143,28d79e3c
2083596818914744064,自己都没憋住笑啊你小子,3.263,1775475296,255ce146
2083635823668575232,？,12.684,1775479946,83c89801
2083687247161054464,精髓出来了,21.088,1775486076,829c8f3d
2083702388564331520,我真的是看你老实才看完这视频的,15.326,1775487881,bd054397
2084330385679932928,你在期待什么,26.378,1775562744,3116c3c5
2084342102619397120,画得比我好,3.0,1775564141,e8a9fb58
2084450516897315840,好了，6秒到了,8.691,1775577065,8fb532a2
2084498649505256704,自己都绷不住,28.014,1775582803,4798d023
2084525879681499392,？,12.975,1775586049,5fe8d464
,,0.0,1775599734.8220847,
lb.c,,0.0,1775599734.8220847,
,,0.0,1775599734.8220847,
