danmaku_id,content,progress,ctime,user_hash
2065280308488190976,这反转牛啊，都是数字生命,216.006,1773291798,5ed10bad
2065283723180043264,前方全程高能,169.075,1773292205,5ed10bad
2065283927300139264,打破次元壁了,187.346,1773292229,5ed10bad
2065353735919539968,什么数字生命体,222.495,1773300551,e0e2d120
2065545858782709760,666666666666666666,183.937,1773323454,521f69d3
2065564343760016896,黑镜的感觉,307.401,1773325657,d628be0e
2065568409189554688,锐化过头,91.257,1773326142,a4f8072
2065603780216366848,军师写信夸我是美髯公，拿去抄写五十份，给全城文武看看,1.272,1773330359,9b9fb8ec
2065606482682536448,非常棒 三连关注了,357.567,1773330681,d331af14
2065654116713412096,养大也可以是从刚出来混开始带,123.419,1773336359,be470388
2065737088284464640,这就是AI啊,86.232,1773346250,dbf6967f
2065898201734530048,我受不了了,35.784,1773365456,e7af598c
2065900244125965312,牛逼,276.887,1773365700,e7af598c
2065927141241652992,突然抽象,142.255,1773368906,3dace2cb
2065961923723301376,卧槽  数字人,215.08,1773373053,5220284b
2066033776815432704,好久？？？？,16.874,1773381618,8dcc4508
2066094690331586560,这就交代了？,122.45,1773388880,c6cbe243
2066113501826680320,这个创意真厉害,288.832,1773391122,70e3cec
2066138167337577216,“好耐”才对味,23.191,1773394063,495e4861
2066324761847409664,黎明,206.229,1773416306,f7a0dc84
2066598926538170112,这就应该投币,1.442,1773448989,b049f9b2
2066862854988075520,怎么有点捕风追影里剧情的感觉（有一点点,128.731,1773480452,141126ef
2066898300934362624,灭霸既视感,155.761,1773484678,a0c52472
2066958202440600576,对唔住，我系警察,142.134,1773491818,366ec3a6
2066959588356014592,未来算力才是金钱呐,297.989,1773491984,366ec3a6
2067018189367695616,曾江,30.35,1773498969,4f27642d
2067019790392476160,我就知道那个像梁朝伟最帅的人就是卧底,100.534,1773499160,90e7f2c9
2067384958149963520,不错哦,227.946,1773542692,7395d126
2067686545804615424,看饿了,60.84,1773578644,9d7ad767
2068201741123687680,想哭了,314.484,1773640060,e6b6d201
2068465837127682816,实体电影真不用拍了  这个AI算力再加大一点 做一个半小时的视频应该没问题,76.046,1773671542,3671bb92
2068512197054706688,梁家辉，张颂文，哈哈哈哈,16.526,1773677069,18f7b313
2068582084805082368,刘松仁,196.228,1773685400,8dea9fbe
2069090096388617216,姜大卫？,35.53,1773745960,12e3ebc7
2069102068408703488,镜头绝了,311.737,1773747387,5d5c6baa
2069190514116619776,这滤镜有点失真，不过已经挺自然了有进步,214.743,1773757931,bfe2f0ea
2069210449711016448,眼神是怎么对上的？我们为什么做出来眼神老是对不上呢？,59.115,1773760307,1a2e4588
2069274523391641088,升华了,271.88,1773767945,c8133b51
2069672043360329728,这么牛比,181.928,1773815333,7ea7e477
2069713611672377856,姜大卫,97.088,1773820289,70e3cbf6
2069955451642616832,用普通话写稿配粤语,68.151,1773849118,f1acdad
2070200418810000384,说好的今天不要算力不要工资？,290.113,1773878321,65c0b991
2070333552956585216,像这个，像那个,157.352,1773894191,43ed8c69
2070339591847737088,牛逼,0.0,1773894911,38ad08a5
2070551098561300480,真人演员要OUT了吗？,78.816,1773920125,6204f379
2070552829642990336,谁又能说我们活在真实世界呢？,320.14,1773920331,6204f379
2071010196079054848,广州话是好耐，不是好久,21.252,1773974854,2690b331
2071058913675377920,我喜欢这个故事,335.552,1773980661,f919c7ae
2071284618148983808,明星都要失业了，比一些电影好看,283.921,1774007567,5317ce74
2071329519742211584,我是谁？我在哪？我从哪来？？,337.56,1774012920,d3b0d4c0
2071387026183773184,闪电五连鞭,51.338,1774019775,e2769125
2071806766928845312,？,128.334,1774069812,649e40cf
2071854330529073408,这个像林家栋和尤勇,52.226,1774075482,8aab6b9e
2071927618340854528,细节处理的很到位,30.239,1774084219,465bd3d
2072376457304697600,agent也可以放假,248.075,1774137725,e945431
2072376636409675008,导演也是agent,258.72,1774137746,e945431
2072420067454570496,这个真可以，之前的大赛作品基本上都只能成为半成品。,304.453,1774142923,3b9096db
2073480282522859520,数字生命也要打工,247.247,1774269311,16181116
2073480332703406080,马保国？,45.115,1774269317,d522f159
2073945231506030592,感啱,90.234,1774324737,c504a85b
2075099765305839360,马上修正hhhhh广普,176.243,1774462368,cbee76ed
2075303634879143680,原来是故意让数字人粤语不标准的,230.481,1774486671,e7e7304c
2075717233384386560,AI生成的角色也会请假？,204.036,1774535976,74ba29d7
2076140884990488576,曾江做的原型？,42.629,1774586479,eff3454f
2077651026370466048,任贤齐的发音,39.154,1774766502,3d8a4c08
2078144133125554176,二爷的春秋呢,15.385,1774825285,dc338b72
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2056506343573252096,太多次元，已经乱了,434.275,1772245860,8cd2b22b
2056700279239449088,麻了 1023 我生日,403.751,1772268979,cf435d1e
2056700319429348096,麻了 1023 我生日,403.751,1772268983,cf435d1e
2056846285713710080,看了这个短片，才真的感到，AI只是工具，用他的人才是关键,368.41,1772286384,6c661f1a
2056934563195894272,剧情在线，真的不错,411.532,1772296907,fe7267bd
2057248246375599616,算力就是这世界的货币,409.766,1772334301,eb9fa897
2057466587883014656,好故事,433.155,1772360330,bdc09f86
2057508110209819648,生命的最终归属在虚拟世界,394.608,1772365280,cc5c3ddc
2057600565814430976,三重套啊,422.524,1772376301,35632653
2058100746154664960,应经很不错了，差点以为是真人,441.358,1772435927,b10d3584
2061570950511731712,卧槽，我有点想哭,422.9,1772849608,283b4e4d
2062714249155009280,黄老邪赢麻了！！！！,418.592,1772985900,6fa9ed53
2064393247199672576,唠叨应该说“吟寻”,424.74,1773186052,75996636
2064601561266846976,《背影》，呼应刚才父子背对背,429.381,1773210885,13156107
2065090609596793600,这样感觉AI也不错啊,374.375,1773269184,3e2cc826
2065326320606543360,牛逼,374.603,1773297283,5e793591
2065467752503951104,生命没有归属，不断演化，不断探索,399.437,1773314143,3e6f8530
2065497680146180352,骗你的，儿子回来看父亲也要算力的,383.12,1773317711,6ce611d0
2065565730807518976,谁活着？还是都死了,412.107,1773325823,d628be0e
2065656918206474496,挖槽，这个剧情,416.019,1773336693,be470388
2065811235517693952,资源就是现实世界的算力，钱就是token,403.553,1773355089,42c5c4c6
2066033933514694912,世界是我们的，但最终会是Ai和机器人的,360.626,1773381637,3f84bbf4
2066288260061267968,升华了,436.105,1773411955,c9e67e25
2066326848253940992,猜到了，有反转,404.111,1773416555,f7a0dc84
2068915319699280384,数字生命,395.873,1773725125,ba0398f8
2068938094921068544,数字生命,362.267,1773727840,855d0008
2069799635245278464,牛逼啊,435.193,1773830544,349d3ece
2073300888525158400,？？？？还有反转？,406.033,1774247925,3bff2d70
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2056180370261209600,二爷，千万别怒目！,10.349,1772207001,a60752bf
2056463990162475776,哇塞,182.987,1772240811,e41f8def
2056558260064625152,普通话翻译的粤语,152.824,1772252049,481c160f
2056566851819428864,卧槽炸裂,282.323,1772253073,d32bcfe5
2056567937968178944,寒战2剧情？,83.593,1772253202,b8a2180e
2056570624109341440,从小养了个卧底？,118.509,1772253523,3492d531
2056580617264912896,很好哎   高质不火！   让我想起来钢铁侠里那个模拟回到父母还在的片段。  ,7.314,1772254714,54c3fd6
2056621045372633600,广东不说好久…,21.241,1772259533,c4492a06
2056641548497648896,武财神,20.833,1772261977,8746442e
2056854352232777984,普粤,163.818,1772287346,8b06b2e5
2056878824997716992,算力就是工资和金钱了,222.706,1772290263,2da74d0
2056894103991531008,卧槽？,182.373,1772292084,3f02a37
2056903317418418944,牛逼,356.423,1772293183,d83a7bf0
2056933727245913600,以后，会不会真的脑机接口，人人活在虚幻的数据库里,351.178,1772296808,fe7267bd
2056948640379175168,？？？,141.495,1772298586,ea98c18f
2056948942276503296,？？？,174.448,1772298622,ea98c18f
2056949890910668544,大制作,266.328,1772298735,ea98c18f
2056953508212829440,结合时事,208.829,1772299166,1ba1a3fb
2057196180978940928,演员要失业了！,187.419,1772328095,7cc5e1b6
2057199700804875008,好耐,23.93,1772328514,c776bcdb
2057236135298040576,有深度,0.0,1772332858,267ffe04
2057246537213996032,AI牛逼,122.003,1772334098,74e75e3d
2057277074238137600,数字人是吧,264.599,1772337738,9486a691
2057277680206469888,好像用的苗侨伟建模的,49.675,1772337810,a6306704
2057279435665234688,技术为故事服务,343.597,1772338019,56370573
2057281779626475520,开场一个币，看到这里再加一个,343.203,1772338299,148760d8
2057292014735203072,666666666,215.776,1772339519,c0103bea
2057292148391030272,666666666,241.914,1772339535,c0103bea
2057292624973030144,66666666,349.317,1772339592,c0103bea
2057313781293431808,怎么近景有油画感,129.636,1772342114,7b3fdc47
2057317798128401152,AI还会粤语？,22.069,1772342593,edbeb298
2057318713090920704,他样子就最正气,109.491,1772342702,edbeb298
2057364950041182208,技术力好强，故事性也好,326.15,1772348214,a1024648
2057372839618657280,者胖子是任贤齐得面相,62.78,1772349154,8d558d13
2057385669969878784,优秀！有想法！,308.951,1772350684,9616f2f1
2057423869962105600,戏中戏,222.475,1772355237,10a22e21
2057443363057096448,原来关公睁眼了……,157.945,1772357561,9b18b94
2057556370475398656,好准,152.092,1772371033,94b6976f
2057575447948061952,牛,328.812,1772373307,1b6ad4c2
2057597801785033728,微表情好厉害,117.215,1772375972,35632653
2057689872235602176,神作了,302.704,1772386947,196516cd
2057867473335793152,看着你一脸正气，也不喝椰汁，就是卧底,50.313,1772408119,cb0af15a
2058214635525812736,场景自动生成,277.729,1772449504,c2da2587
2058313142379377408,秀啊！粤语！,16.674,1772461247,bae8caa3
2058332965414628096,这不就曾江么,90.188,1772463610,a40ab559
2058767983408563456,图恒宇,273.48,1772515468,c291a5a1
2058768028883384320,图恒宇,275.04,1772515474,c291a5a1
2058892111788996352,蔡卓妍？,232.449,1772530265,b16aa2b6
2058909007192037632,以后还需要演员？,155.736,1772532279,27b9def
2059109081297557760,牛逼,229.286,1772556130,c9379ee0
2059111581580709120,语言逻辑和顺序还是普通话的，可惜,76.181,1772556428,3eb9a7b3
2059569864892254720,脸灰灰的,37.233,1772611060,baea6650
2059601315209954816,好计谋,105.38,1772614809,f96ce025
2059836270238808576,这个剧本好啊,275.5,1772642818,b425647f
2060799123061465600,对不起，我是警察,151.569,1772757599,eb9e05d1
2061567509018106880,有点像老年曾江,44.36,1772849198,283b4e4d
2061814361558928384,窍听风云3？,28.129,1772878625,bc5a48b6
2061815060976367616,父亲在窗户的光线中，儿子的背后是墙体,315.008,1772878708,ccf767bd
2062291438515504896,真.数字生命,292.938,1772935497,9a91f490
2062437245423939072,ai粤语,104.609,1772952878,a847987b
2062627011809408512,葵芳粤语,53.834,1772975500,ead82f16
2063341342742375168,剧情太牛逼了！,11.048,1773060655,2e8b7ed3
2064350429621664256,場景太AI了,46.421,1773180948,4c601e41
2064449710097802496,有点盗梦空间的味道,309.081,1773192783,58eb14f9
2064557435150170624,好家伙！,268.18,1773205625,deae007
2064559164495716096,哈哈哈哈哈,139.46,1773205831,de151c95
2064629962836840960,哇去，上载新生,265.648,1773214271,67566783
2064780850121914112,就是苗侨伟微改。,129.449,1773232258,51808395
2064947278334089728,所以说数字永生何尝不是一种囚笼,230.27,1773252098,f04dac30
2065117144282590208,有些像苗侨伟,70.657,1773272347,6039e1dc
2065121480110977792,哈哈哈,238.453,1773272864,6b24cb5e
2065205609578147072,？,139.833,1773282893,c35ce95e
2065266280714002432,0帧起手,142.77,1773290126,238eeb8d
2065270335087590400,好耐,33.942,1773290609,da18e957
2065280308488190976,这反转牛啊，都是数字生命,216.006,1773291798,5ed10bad
2065283723180043264,前方全程高能,169.075,1773292205,5ed10bad
2065283927300139264,打破次元壁了,187.346,1773292229,5ed10bad
2065353735919539968,什么数字生命体,222.495,1773300551,e0e2d120
2065545858782709760,666666666666666666,183.937,1773323454,521f69d3
2065564343760016896,黑镜的感觉,307.401,1773325657,d628be0e
2065568409189554688,锐化过头,91.257,1773326142,a4f8072
2065603780216366848,军师写信夸我是美髯公，拿去抄写五十份，给全城文武看看,1.272,1773330359,9b9fb8ec
2065606482682536448,非常棒 三连关注了,357.567,1773330681,d331af14
2065654116713412096,养大也可以是从刚出来混开始带,123.419,1773336359,be470388
2065737088284464640,这就是AI啊,86.232,1773346250,dbf6967f
2065898201734530048,我受不了了,35.784,1773365456,e7af598c
2065900244125965312,牛逼,276.887,1773365700,e7af598c
2065927141241652992,突然抽象,142.255,1773368906,3dace2cb
2065961923723301376,卧槽  数字人,215.08,1773373053,5220284b
2066033776815432704,好久？？？？,16.874,1773381618,8dcc4508
2066094690331586560,这就交代了？,122.45,1773388880,c6cbe243
2066113501826680320,这个创意真厉害,288.832,1773391122,70e3cec
2066138167337577216,“好耐”才对味,23.191,1773394063,495e4861
2066324761847409664,黎明,206.229,1773416306,f7a0dc84
2066598926538170112,这就应该投币,1.442,1773448989,b049f9b2
2066862854988075520,怎么有点捕风追影里剧情的感觉（有一点点,128.731,1773480452,141126ef
2066898300934362624,灭霸既视感,155.761,1773484678,a0c52472
2066958202440600576,对唔住，我系警察,142.134,1773491818,366ec3a6
2066959588356014592,未来算力才是金钱呐,297.989,1773491984,366ec3a6
2067018189367695616,曾江,30.35,1773498969,4f27642d
2067019790392476160,我就知道那个像梁朝伟最帅的人就是卧底,100.534,1773499160,90e7f2c9
2067384958149963520,不错哦,227.946,1773542692,7395d126
2067686545804615424,看饿了,60.84,1773578644,9d7ad767
2068201741123687680,想哭了,314.484,1773640060,e6b6d201
2068465837127682816,实体电影真不用拍了  这个AI算力再加大一点 做一个半小时的视频应该没问题,76.046,1773671542,3671bb92
2068512197054706688,梁家辉，张颂文，哈哈哈哈,16.526,1773677069,18f7b313
2068582084805082368,刘松仁,196.228,1773685400,8dea9fbe
2069090096388617216,姜大卫？,35.53,1773745960,12e3ebc7
2069102068408703488,镜头绝了,311.737,1773747387,5d5c6baa
2069190514116619776,这滤镜有点失真，不过已经挺自然了有进步,214.743,1773757931,bfe2f0ea
2069210449711016448,眼神是怎么对上的？我们为什么做出来眼神老是对不上呢？,59.115,1773760307,1a2e4588
2069274523391641088,升华了,271.88,1773767945,c8133b51
2069672043360329728,这么牛比,181.928,1773815333,7ea7e477
2069713611672377856,姜大卫,97.088,1773820289,70e3cbf6
2069955451642616832,用普通话写稿配粤语,68.151,1773849118,f1acdad
2070200418810000384,说好的今天不要算力不要工资？,290.113,1773878321,65c0b991
2070333552956585216,像这个，像那个,157.352,1773894191,43ed8c69
2070339591847737088,牛逼,0.0,1773894911,38ad08a5
2070551098561300480,真人演员要OUT了吗？,78.816,1773920125,6204f379
2070552829642990336,谁又能说我们活在真实世界呢？,320.14,1773920331,6204f379
